Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
O15446	POLR1G	2.77919754017048e-06	61987.8352864583	557.488669753075	6.794313300871	6.10458459691612e-06
Q96SB4	SRPK1	2.79635689748784e-06	19776.6023763021	763.58624013265	4.69297154494163	6.13801309282028e-06
Q9HCH0	NCKAP5L	2.80475014987835e-06	4453.92708333333	932.094701131185	2.25498252466913	6.15216693763193e-06
Q8TA86	RP9	2.82408804997997e-06	14789.1915690104	4761.53556315104	1.63474142087943	6.19029140823746e-06
Q9BWC9	CCDC106	2.86533618734156e-06	5134.78662109375	0	12.3260886104585	6.2763562053749e-06
Q9UHB7	AFF4	2.87817091446191e-06	20617.6331380208	1396.78967285156	3.88265952573932	6.30010699131004e-06
O43251	RBFOX2	2.88108126748027e-06	31756.6695963542	2029.72859700521	3.96699027707715	6.30211621648693e-06
P18615	NELFE	2.89095975443628e-06	26258.08984375	516.088846842448	5.66620597286258	6.31560317094036e-06
Q96HW7	INTS4	2.89124040199862e-06	3085.35896809896	42.549441019694	6.14664033902631	6.31560317094036e-06
A2A3N6	PIPSL	2.89513644186429e-06	20584.6858723958	0	14.329283812479	6.31630633862705e-06
P18621	RPL17	2.89555617799849e-06	513384.375	46155.2701822917	3.47544083592305	6.31630633862705e-06
P09012	SNRPA	2.91247489498243e-06	30507.3014322917	565.287129720052	5.75147701827349	6.34680663368749e-06
Q12996	CSTF3	2.91355144866084e-06	22362.9866536458	0	14.4488252574739	6.34680663368749e-06
P61218	POLR2F	2.92020010171838e-06	33335.4348958333	1134.76098632813	4.87532538280662	6.35253983613152e-06
Q9UBK9	UXT	2.91868492550239e-06	7178.29117838542	0	12.8094247301193	6.35253983613152e-06
P62854	RPS26	2.9356575416579e-06	332045.890625	34719.5149739583	3.2575223929108	6.38177649777591e-06
Q7L2K0	TEDC2	2.94102790125779e-06	3370.52893066406	274.60492960612	3.61230141040614	6.38905992560329e-06
O75127	PTCD1	2.9445348072475e-06	29222.7809244792	993.761037190755	4.87659966431894	6.39228798580908e-06
Q12857	NFIA	2.95866790409481e-06	54230.53515625	10054.5628255208	2.43111157339344	6.41856418426056e-06
P52294	KPNA1	2.96151575409461e-06	4055.26232910156	0	11.9855795279955	6.42033881439428e-06
Q9BW19	KIFC1	2.96824888760302e-06	50063.4192708333	1609.65496826172	4.95803744811003	6.43052824074546e-06
Q969M3	YIPF5	2.99242848298369e-06	6767.14851888021	1142.20315551758	2.56546624804134	6.47847453229117e-06
Q9BQG0	MYBBP1A	3.00528924529998e-06	7765.791015625	788.86078898112	3.29746257419712	6.50186722495474e-06
P49821	NDUFV1	3.03171939090307e-06	2358.74483235677	160.863021850586	3.86517401722707	6.55008772775027e-06
P60228	EIF3E	3.03157456779539e-06	159804.536458333	1156.51920572917	7.10912842209836	6.55008772775027e-06
Q9UBU9	NXF1	3.05013737012663e-06	33175.8470052083	1581.95303344727	4.38944294303906	6.5853819124304e-06
Q9UIV1	CNOT7	3.05531169994371e-06	3454.11267089844	93.1874187787374	5.1966369705565	6.5920538246398e-06
Q5SNT2	TMEM201	3.05969378109037e-06	3292.69287109375	235.11018371582	3.8017357763327	6.5936260111601e-06
Q9GZR7	DDX24	3.06020960619128e-06	2705.30446370443	474.931879679362	2.50696396884727	6.5936260111601e-06
Q9P287	BCCIP	3.09509500126653e-06	6228.2265625	400.646341959635	3.95482378372003	6.66425152417021e-06
Q96FN4	CPNE2	3.13605723156535e-06	3962.7704671224	66.3176116943359	5.87938160185404	6.74785647853142e-06
Q8NC56	LEMD2	3.15085145272213e-06	2981.37479654948	484.354212443034	2.6188678333296	6.77508031608435e-06
Q7L2H7	EIF3M	3.16124735362523e-06	110785.3671875	2864.68428548177	5.27274385332749	6.79281615456291e-06
Q13454	TUSC3	3.17400677264489e-06	12477.162109375	1225.86513264974	3.3462412654995	6.81560313772967e-06
Q09161	NCBP1	3.17798991200656e-06	15202.5182291667	399.843943277995	5.24512583383622	6.8195265208119e-06
O00178	GTPBP1	3.21097027681488e-06	3571.78112792969	75.9053675333659	5.53741557412585	6.88562643089183e-06
P40937	RFC5	3.24142557923023e-06	68265.9654947917	2205.75893147787	4.95116554949417	6.9462256823206e-06
Q13151	HNRNPA0	3.24682957486947e-06	142091.041666667	3722.67364501953	5.25394515453781	6.95309542675162e-06
P49756	RBM25	3.24992579564138e-06	34989.5087890625	2990.43892415365	3.54801089792745	6.95501711205256e-06
Q9UNP9	PPIE	3.2580987423005e-06	13357.7662760417	0	13.7053911559312	6.96779332109295e-06
Q9BY89	KIAA1671	3.2822133811615e-06	6102.89721679688	2050.99375406901	1.57246795354402	7.0146222463607e-06
Q7LGA3	HS2ST1	3.28679492011544e-06	17518.8030598958	1297.22183227539	3.75429538031702	7.01967071730259e-06
P52272	HNRNPM	3.29470962964219e-06	246436.598958333	23153.203125	3.41187051922351	7.03182628782608e-06
Q92830	KAT2A	3.31312364247987e-06	3487.95035807292	0	11.7681637919009	7.06635878702888e-06
Q9Y605	MRFAP1	3.31887489464022e-06	15439.7981770833	249.100545247396	5.94800188140651	7.07385531788883e-06
Q8IWT6	LRRC8A	3.32372591284243e-06	27222.3824869792	1267.51973470052	4.42357546711153	7.07942428439098e-06
Q01130	SRSF2	3.33664983141035e-06	227194.419270833	18722.9446614583	3.60097108598807	7.10216919027653e-06
P55084	HADHB	3.40079183047593e-06	114441.010416667	41953.548828125	1.44770499535726	7.23382956274067e-06
Q96TC7	RMDN3	3.41440519954689e-06	7077.95418294271	777.47226969401	3.18461486847849	7.25790567618737e-06
O43395	PRPF3	3.41776178245628e-06	73297.2643229167	3075.41845703125	4.57443569523715	7.26016152982486e-06
P82933	MRPS9	3.43385420758129e-06	54919.7454427083	2377.34197998047	4.52929685936477	7.27489082396486e-06
Q12965	MYO1E	3.43389566872575e-06	22622.6533203125	8857.58341471354	1.35262022769628	7.27489082396486e-06
Q1ED39	KNOP1	3.4313310617356e-06	9768.20043945312	166.21718343099	5.86829779097885	7.27489082396486e-06
Q9H583	HEATR1	3.43140524312767e-06	3466.2637125651	430.809844970703	3.0049133772749	7.27489082396486e-06
Q92552	MRPS27	3.4415003260239e-06	35990.6871744792	2245.85911051432	4.00164207991875	7.28612150683642e-06
Q7Z4H7	HAUS6	3.4877567897224e-06	3844.59265136719	484.883402506511	2.98414869068702	7.37911352902471e-06
