SampleA	SampleB	Spearman
Day21_6	Day03_2	0.698
Day28_1	Day03_2	0.673
Day28_2	Day03_2	0.672
Day28_3	Day03_2	0.674
Day28_4	Day03_2	0.669
Day28_5	Day03_2	0.665
Day28_6	Day03_2	0.667
Day0_1	Day03_3	0.862
Day0_2	Day03_3	0.879
Day0_3	Day03_3	0.88
Day0_4	Day03_3	0.874
Day0_5	Day03_3	0.882
Day0_6	Day03_3	0.877
Day03_1	Day03_3	0.977
Day03_2	Day03_3	0.974
Day03_3	Day03_3	1
Day03_4	Day03_3	0.97
Day03_5	Day03_3	0.962
Day03_6	Day03_3	0.983
Day07_1	Day03_3	0.843
Day07_2	Day03_3	0.847
Day07_3	Day03_3	0.868
Day07_4	Day03_3	0.861
Day07_5	Day03_3	0.856
Day07_6	Day03_3	0.853
Day10_1	Day03_3	0.792
Day10_2	Day03_3	0.792
Day10_3	Day03_3	0.781
Day10_4	Day03_3	0.798
Day10_5	Day03_3	0.771
Day10_6	Day03_3	0.786
Day14_1	Day03_3	0.732
Day14_2	Day03_3	0.729
Day14_3	Day03_3	0.737
Day14_4	Day03_3	0.743
Day14_5	Day03_3	0.738
Day14_6	Day03_3	0.737
Day21_1	Day03_3	0.711
Day21_2	Day03_3	0.703
Day21_3	Day03_3	0.704
Day21_4	Day03_3	0.7
Day21_5	Day03_3	0.7
Day21_6	Day03_3	0.704
Day28_1	Day03_3	0.677
Day28_2	Day03_3	0.675
Day28_3	Day03_3	0.673
Day28_4	Day03_3	0.671
Day28_5	Day03_3	0.664
Day28_6	Day03_3	0.669
Day0_1	Day03_4	0.861
Day0_2	Day03_4	0.876
Day0_3	Day03_4	0.875
Day0_4	Day03_4	0.873
Day0_5	Day03_4	0.878
Day0_6	Day03_4	0.877
Day03_1	Day03_4	0.975
Day03_2	Day03_4	0.974
Day03_3	Day03_4	0.97
Day03_4	Day03_4	1
Day03_5	Day03_4	0.974
Day03_6	Day03_4	0.969
Day07_1	Day03_4	0.839
Day07_2	Day03_4	0.854
Day07_3	Day03_4	0.856
Day07_4	Day03_4	0.865
Day07_5	Day03_4	0.862
Day07_6	Day03_4	0.855
Day10_1	Day03_4	0.79
Day10_2	Day03_4	0.787
Day10_3	Day03_4	0.779
Day10_4	Day03_4	0.797
Day10_5	Day03_4	0.773
Day10_6	Day03_4	0.787
Day14_1	Day03_4	0.727
Day14_2	Day03_4	0.725
Day14_3	Day03_4	0.733
Day14_4	Day03_4	0.741
Day14_5	Day03_4	0.733
Day14_6	Day03_4	0.733
Day21_1	Day03_4	0.706
