cohort,Group Name,age,Subject or Animal ID,sex,strain,Location,Preparation batch,MS sample label,MS Run Label,,sample
C10,SLAM,21,2125,F,HET3,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 3,93,SLAM_93_2125.raw,,SLAM_93
C10,SLAM,21,1942,M,B6,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 3,94,SLAM_94_1942.raw,,SLAM_94
C10,SLAM,21,2064,M,HET3,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 3,95,SLAM_95_2064.raw,,SLAM_95
C8,SLAM,24,1619,F,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 322,Batch 3,96,SLAM_96_1619.raw,,SLAM_96
C7,SLAM,24,1476,M,B6,URL:SLAM 3-Shelf 3-Rack 17Box 422,Batch 3,97,SLAM_97_1476.raw,,SLAM_97
C10,SLAM,25,2003,F,B6,URL:SLAM 3-Shelf 1-Rack 5  Box 102,Batch 3,98,SLAM_98_2003.raw,,SLAM_98
C10,SLAM,25,2062,M,HET3,URL:SLAM 3-Shelf 1-Rack 5  Box 102,Batch 3,99,SLAM_99_2062.raw,,SLAM_99
C7,SLAM,30,1402,F,B6,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 3,100,SLAM_100_1402.raw,,SLAM_100
C9,SLAM,30,1773,F,HET3,URL:SLAM 3-Shelf 2-Rack 9 Box 221,Batch 3,101,SLAM_101_1773.raw,,SLAM_101
C7,SLAM,30,1485,M,B6,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 3,102,SLAM_102_1485.raw,,SLAM_102
C7,SLAM,30,1388,M,HET3,URL:SLAM 3-Shelf 3-Rack 18 Box 434,Batch 3,103,SLAM_103_1388.raw,,SLAM_103
C5,SLAM,33,953,F,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 645,Batch 3,104,SLAM_104_953.raw,,SLAM_104
C5,SLAM,6,964,F,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 4,105,SLAM_105_964.raw,,SLAM_105
C5,SLAM,6,825,F,HET3,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 4,106,SLAM_106_825.raw,,SLAM_106
C5,SLAM,6,1023,M,B6,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 4,107,SLAM_107_1023.raw,,SLAM_107
C5,SLAM,6,879,M,HET3,URL:SLAM 4-Shelf 1-Rack 2  Box 632,Batch 4,108,SLAM_108_879.raw,,SLAM_108
C6,SLAM,12,1209,F,B6,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 4,109,SLAM_109_1209.raw,,SLAM_109
C6,SLAM,12,1080,F,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 4,110,SLAM_110_1080.raw,,SLAM_110
C6,SLAM,12,1067,F,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 4,111,SLAM_111_1067.raw,,SLAM_111
C6,SLAM,12,1269,M,B6,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 4,112,SLAM_112_1269.raw,,SLAM_112
C6,SLAM,12,1140,M,HET3,URL:SLAM 3-Shelf 4-Rack 22 Box 543,Batch 4,113,SLAM_113_1140.raw,,SLAM_113
C8,SLAM,18,1655,F,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 4,114,SLAM_114_1655.raw,,SLAM_114
C16,SLAM,18,3184,F,HET3,URL:SLAM 1-Shelf 1-Rack 6 Box 1339,Batch 4,115,SLAM_115_3184.raw,,SLAM_115
C8,SLAM,18,1705,M,B6,URL:SLAM 3-Shelf 3-Rack 13 Box 308,Batch 4,116,SLAM_116_1705.raw,,SLAM_116
C15,SLAM,18,3037,M,HET3,URL:SLAM 1-Shelf 1-Rack 4  Box 1280,Batch 4,117,SLAM_117_3037.raw,,SLAM_117
C10,SLAM,21,2142,F,HET3,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 4,118,SLAM_118_2142.raw,,SLAM_118
C10,SLAM,21,1947,M,B6,URL:SLAM 3-Shelf 1-Rack 4  Box 91,Batch 4,119,SLAM_119_1947.raw,,SLAM_119
