PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[7] UNC13A_CE_1.raw.PG.Quantity,[8] UNC13A_CE_2.raw.PG.Quantity,[9] UNC13A_CE_3.raw.PG.Quantity,[10] UNC13A_CE_4.raw.PG.Quantity,[11] UNC13A_CE_5.raw.PG.Quantity,[12] UNC13A_CE_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
A0A1B0GUS4;P68036,UBE2L5;UBE2L3,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,NaN,NaN,Filtered,Filtered,NaN,0.5816116333007812,NaN,NaN,NaN,NaN,NaN
Q01518,CAP1,NaN,NaN,235.1287078857422,Filtered,4483.75439453125,335.14154052734375,13275.6728515625,16237.6572265625,21854.671875,13362.544921875,873.0448608398438,12270.3740234375,7585.11083984375,1714.4993896484375,15408.158203125,12177.435546875,1347.8934326171875,1195.0498046875
Q01628,IFITM3,NaN,Filtered,600.6641845703125,NaN,2827.2392578125,NaN,1136.937744140625,928.7919921875,1390.85888671875,715.05126953125,1766.7271728515625,761.5418701171875,1014.5792846679688,Filtered,1474.5089111328125,1952.39892578125,1074.2618408203125,958.2383422851562
Q01650,SLC7A5,9103.8232421875,7794.6220703125,8056.01123046875,7438.9638671875,21584.986328125,13728.1826171875,41666,45848.13671875,52525.16015625,54467.9765625,47027.6484375,46242.87109375,43815.421875,47638.95703125,43255.33984375,52759.91015625,47865.0625,49532.8828125
Q01780,EXOSC10,607.06494140625,577.5291748046875,481.8216552734375,601.1792602539062,1055.6546630859375,433.8950500488281,5462.5517578125,5839.41796875,6480.8916015625,5316.05810546875,5998.55078125,4987.64697265625,3886.77978515625,4946.431640625,5197.810546875,5162.396484375,5286.232421875,6073.466796875
Q01804,OTUD4,NaN,327.9285583496094,307.9005126953125,325.763671875,416.55487060546875,340.6346740722656,8519.5771484375,8457.919921875,10441.9658203125,8528.361328125,8526.1240234375,8874.173828125,7141.40966796875,8444.9736328125,8909.529296875,9306.1611328125,8658.5029296875,9259.5478515625
Q01813,PFKP,662.1378784179688,1422.7396240234375,859.4869384765625,1102.747314453125,2368.075439453125,1217.5665283203125,4736.69873046875,5048.015625,5931.66552734375,4538.7265625,4143.7177734375,4145.7109375,3430.345703125,4488.22119140625,4438.88671875,4466.744140625,5011.59619140625,4571.8544921875
Q01844,EWSR1,51157.4296875,50795.671875,57812.94140625,42988.38671875,88896.921875,66594.796875,1097265,1128634.875,1332700.625,1088227.875,1081041,978444.6875,832836.1875,1090188.125,1124223,1069027.75,1105764.75,1126042.5
Q01970,PLCB3,Filtered,Filtered,Filtered,Filtered,2372.391845703125,4151.71240234375,11767.1259765625,11939.7333984375,16644.44921875,11190.138671875,11258.501953125,8946.1201171875,9963.5390625,11164.14453125,9086.587890625,11334.36328125,10033.0517578125,11811.111328125
Q02040,AKAP17A,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,5410.74560546875,6194.29150390625,7288.27490234375,4612.66845703125,5355.29638671875,3606.081298828125,3996.7080078125,4502.37060546875,5143.208984375,3841.611083984375,4516.57080078125,5188.86328125
Q02086,SP2,Filtered,Filtered,Filtered,Filtered,303.1899719238281,Filtered,4890.22705078125,4275.15869140625,4281.44189453125,2437.1162109375,3545.1015625,3449.455322265625,2668.5869140625,2445.55126953125,805.8056640625,2573.895263671875,2891.8291015625,1384.047119140625
Q02218,OGDH,3390.852294921875,3174.6552734375,4715.33251953125,3115.679931640625,11522.9873046875,3158.274169921875,15765.091796875,16454.673828125,27663.662109375,15890.8916015625,17265.53125,14165.291015625,14060.3876953125,17248.552734375,16479.19140625,17420.8359375,17110.853515625,18545.083984375
Q02224,CENPE,1990.216552734375,1864.175048828125,50584.08984375,766.1567993164062,2604.265869140625,3993.849853515625,7064.0830078125,6682.091796875,6937.001953125,6778.1162109375,5948.3173828125,5802.34716796875,5536.31982421875,7094.77734375,7069.34033203125,9123.193359375,6756.6005859375,8027.9384765625
Q02241,KIF23,1169.3458251953125,1066.091064453125,777.4715576171875,537.4966430664062,1892.398681640625,1547.0296630859375,18265.748046875,18468.99609375,22803.8984375,18667.28515625,19430.787109375,18014.89453125,15769.0859375,19414.62890625,20059.41015625,20158.990234375,19387.287109375,21057.34765625
Q02338,BDH1,840.9674682617188,573.3108520507812,525.2847290039062,537.6500244140625,1589.81689453125,1420.201416015625,766.4514770507812,1542.3475341796875,2494.8544921875,1224.524169921875,759.4783325195312,1660.1513671875,1213.3778076171875,1350.020751953125,1468.5703125,1664.9937744140625,451.8251037597656,1649.91552734375
Q02388,COL7A1,1436.0794677734375,NaN,NaN,Filtered,615.7390747070312,Filtered,2923.291015625,2888.381591796875,4704.99365234375,3044.296875,2639.037109375,2162.117431640625,2129.164306640625,2974.455810546875,3334.695068359375,1901.6375732421875,2590.12255859375,3243.845947265625
Q02413,DSG1,18812.3203125,3756.899169921875,11618.69921875,2378.237060546875,12305.2919921875,4568.00537109375,10480.0859375,13377.072265625,9562.4873046875,12533.005859375,6851.3408203125,2178.57763671875,21951.220703125,18332.90625,15228.640625,10046.474609375,9414.44140625,8052.57666015625
Q02539,H1-1,NaN,NaN,NaN,487.71966552734375,905.4631958007812,250.87339782714844,3322.35986328125,4010.552734375,3943.270263671875,4042.42724609375,3432.950439453125,3654.2646484375,2914.038330078125,3463.062255859375,3296.64013671875,2506.03173828125,2407.9228515625,4325.1162109375
Q02543,RPL18A,11097.9052734375,9310.9501953125,11657.8310546875,10977.4248046875,27840.8046875,19939.279296875,27048.818359375,29458.171875,29956.876953125,25830.283203125,31277.3203125,25644.51171875,15132.4970703125,25095.568359375,24916.603515625,21763.8984375,22008.474609375,27206.708984375
Q02790,FKBP4,Filtered,1616.94482421875,1543.346923828125,Filtered,5568.8408203125,Filtered,4620.76220703125,5510.74560546875,6212.39013671875,4661.3935546875,5477.85302734375,3420.844482421875,844.98193359375,4767.31640625,4520.61767578125,3165.006103515625,4659.56298828125,3701.349365234375
Q02809,PLOD1,1042.4876708984375,482.92999267578125,897.3333740234375,765.4026489257812,2586.260009765625,1351.6429443359375,74276.4921875,74295.1015625,89077.6953125,70973.421875,75125.2890625,43423.2890625,47608.6640625,81966.0234375,81326.4453125,69042.015625,70284.0859375,77674.734375
Q02878,RPL6,61161.64453125,52429.9609375,68418.53125,66368.8984375,128377.7421875,96064.8203125,93987.265625,99655.953125,129763.1484375,105859.21875,111081.0859375,98631.5078125,85162.6796875,107653.6328125,113824.953125,108347.3984375,103805.1953125,108744.3984375
Q02978,SLC25A11,2497.956787109375,1733.1409912109375,2221.513671875,2867.716796875,7473.5673828125,4986.07177734375,16059.09765625,17066.33203125,23016.7421875,17587.35546875,17141.828125,16257.037109375,14822.544921875,16901.134765625,16519.33984375,16622.763671875,18524.095703125,17625.671875
Q03001,DST,4171.57958984375,3435.594970703125,4055.3447265625,3908.047119140625,6566.91796875,5136.34326171875,27332.31640625,28817.228515625,34277.515625,28397.53125,27518.021484375,27103.734375,23796.478515625,29021.12890625,28430.92578125,27560.740234375,27923.029296875,30988.359375
Q03111,MLLT1,609.6943969726562,10055.08203125,1398.4127197265625,1227.73974609375,2597.46484375,1835.4031982421875,27199.0625,26239.70703125,33636.16796875,26898.92578125,24026.287109375,20335.4140625,21114.310546875,24491.626953125,25967.115234375,25089.427734375,24527.46875,28334.154296875
Q03113,GNA12,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,2196.49169921875,1520.011474609375,2298.589599609375,2050.170166015625,1030.2647705078125,1133.1558837890625,1641.52392578125,1328.149658203125,1463.1026611328125,619.1439819335938,508.89166259765625,670.9708862304688
Q03135,CAV1,927.8563232421875,577.2576293945312,901.2095336914062,884.2479248046875,1640.1771240234375,1023.6024780273438,4434.9375,4166.8134765625,6558.64013671875,4408.05029296875,4512.11962890625,3989.31005859375,6644.61279296875,6982.02978515625,5404.1416015625,6084.9384765625,6283.99658203125,6260.82568359375
Q03169,TNFAIP2,1294.2978515625,NaN,Filtered,1217.3082275390625,3021.8203125,2337.50244140625,4978.2666015625,5307.80224609375,5796.7998046875,3991.912841796875,3692.563720703125,3404.48974609375,4206.9072265625,5023.33984375,5210.81298828125,3774.113525390625,3867.763427734375,4474.736328125
Q03468,ERCC6,NaN,NaN,Filtered,Filtered,NaN,1097.466796875,3542.84326171875,4738.341796875,5277.2177734375,3542.6015625,3596.432373046875,3732.115478515625,3172.968994140625,3591.756103515625,3996.90673828125,3441.232666015625,4145.71044921875,4619.68017578125
