PG.ProteinGroups,PG.Genes,[1] ctrl_1.raw.PG.Quantity,[2] ctrl_2.raw.PG.Quantity,[3] ctrl_3.raw.PG.Quantity,[4] ctrl_4.raw.PG.Quantity,[5] Halo_1.raw.PG.Quantity,[6] Halo_2.raw.PG.Quantity,[7] Halo_3.raw.PG.Quantity,[8] Halo_4.raw.PG.Quantity
Q7L8L6,FASTKD5,22181.546875,24730.283203125,7209.9853515625,15457.9765625,6903.62255859375,7917.033203125,7634.6904296875,5580.31298828125
Q7LBR1,CHMP1B,8642.4228515625,NaN,6364.6943359375,NaN,NaN,NaN,NaN,NaN
Q7LDG7,RASGRP2,15525.0458984375,18406.015625,17986.52734375,16623.201171875,12150.173828125,12671.0537109375,15844.5283203125,16299.59765625
Q7LGA3,HS2ST1,NaN,10918.0576171875,7424,NaN,NaN,10110.51171875,NaN,NaN
Q7RTP6,MICAL3,9423.3876953125,3269.51220703125,4622.1376953125,6095.53564453125,NaN,3071.332275390625,NaN,NaN
Q7RTS9,DYM,8293.5244140625,9241.7314453125,4688.494140625,NaN,5743.33544921875,4406.29736328125,NaN,NaN
Q7Z2K8,GPRIN1,5061.888671875,8223.15625,7267.80517578125,5039.68212890625,5149.49560546875,3529.7060546875,6840.9912109375,3557.1611328125
Q7Z2T5,TRMT1L,1866.811279296875,3346.671875,3267.398681640625,1788.6160888671875,1425.977783203125,601.7615966796875,2564.7548828125,2514.93408203125
Q7Z2W4,ZC3HAV1,NaN,599.3346557617188,4393.5654296875,5128.376953125,NaN,2848.176025390625,NaN,NaN
Q7Z2W9,MRPL21,8223.8916015625,7579.2333984375,8344.8544921875,6060.630859375,NaN,6265.83984375,2945.9375,5619.5634765625
Q7Z392,TRAPPC11,1302.1929931640625,782.1217041015625,1097.23583984375,341.1018371582031,1854.033447265625,NaN,NaN,NaN
Q7Z3E5,ARMC9,7697.142578125,9609.7060546875,8237.3720703125,8952.8037109375,6913.12158203125,7560.45458984375,9780.9970703125,8849.4814453125
Q7Z3G6,PRICKLE2,6553.26123046875,7175.9833984375,8551.4150390625,6997.33349609375,4036.996826171875,5926.88916015625,2890.060302734375,4493.3662109375
Q7Z3J2,VPS35L,8151.328125,7227.4443359375,10516.6435546875,9069.337890625,5108.625,5905.60546875,7755.51220703125,6403.70751953125
Q7Z3U7,MON2,19226.541015625,19590.7421875,19081.357421875,17102.38671875,12496.4951171875,15373.4189453125,13458.650390625,17218.478515625
Q7Z3V4,UBE3B,12913.8955078125,14789.744140625,14318.7939453125,12182.9716796875,10351.1953125,13770.486328125,14365.5791015625,12707.9169921875
Q7Z417,NUFIP2,4009.0927734375,2833.778564453125,3392.669189453125,1977.0015869140625,2294.129150390625,2119.1650390625,NaN,NaN
Q7Z449,CYP2U1,NaN,NaN,2815.46533203125,NaN,NaN,NaN,NaN,NaN
Q7Z460,CLASP1,63331.578125,59250.375,49683.0625,52217.40625,35117.79296875,45808.328125,46217.21875,46024.0390625
Q7Z478,DHX29,13486.1455078125,16616.126953125,9849.94140625,10816.4111328125,8156.52294921875,7231.5107421875,9494.2548828125,8441.79296875
Q7Z4G4,TRMT11,7702.6923828125,8928.60546875,9695.3798828125,5311.26513671875,7429.52001953125,10535.5908203125,10791.455078125,8661.96484375
Q7Z4H3,HDDC2,4173.02197265625,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q7Z4K8,TRIM46,24343.072265625,19056.8984375,15659.408203125,20187.337890625,16088.2060546875,14172.48828125,11338.193359375,9967.9033203125
Q7Z4L5,TTC21B,6221.02783203125,7590.0556640625,7335.837890625,7465.03125,5657.5712890625,5079.10595703125,6502.4814453125,3965.884033203125
Q7Z4S6,KIF21A,51153.89453125,51768.203125,54840.828125,46485.01171875,41384.1484375,46843.46484375,53480.53125,58868.4765625
