PG.ProteinGroups,PG.Genes,[1] Control_1.raw.PG.Quantity,[2] Control_2.raw.PG.Quantity,[3] Control_3.raw.PG.Quantity,[4] Control_4.raw.PG.Quantity,[5] Control_5.raw.PG.Quantity,[6] Control_6.raw.PG.Quantity,[13] UNC13A_WT_1.raw.PG.Quantity,[14] UNC13A_WT_2.raw.PG.Quantity,[15] UNC13A_WT_3.raw.PG.Quantity,[16] UNC13A_WT_4.raw.PG.Quantity,[17] UNC13A_WT_5.raw.PG.Quantity,[18] UNC13A_WT_6.raw.PG.Quantity
Q4KMP7,TBC1D10B,641.3973999,305.6716003,443.2000732,475.1108398,1003.278748,820.701416,3776.960449,4274.961426,4890.877441,5848.375488,7251.969238,6923.145508
Q4KMQ1,TPRN,1680.688232,1393.135254,2110.020752,1585.103271,1790.269775,2441.327881,4253.010254,5870.203125,6207.503906,4005.505859,5868.93457,5830.731934
Q52LJ0,FAM98B,1145.973022,977.2536011,868.3096924,1069.535278,1907.17981,1332.10083,56459.24609,56665.50781,60615.73047,62748.42969,55899.83594,65039.35547
Q53EP0,FNDC3B,2025.122192,1233.27832,1565.33667,1576.380737,3940.480225,3847.624268,40866.14844,47902.10547,52969.71094,46737.87891,49459.77734,49736.52344
Q53ET0,CRTC2,NaN,Filtered,NaN,Filtered,1207.146851,1290.099854,Filtered,Filtered,NaN,Filtered,NaN,Filtered
Q53EZ4,CEP55,Filtered,Filtered,Filtered,Filtered,481.4214478,Filtered,5412.822266,6112.37207,6670.727051,5021.19043,5556.29541,5768.718262
Q53F19,NCBP3,11.93838596,210.9082184,NaN,Filtered,649.9765015,487.7626343,8685.133789,9037.891602,9944.916016,10638.18066,9662.613281,10909.5918
Q53FV1;Q9P0S3,ORMDL2;ORMDL1,50231.71875,50454.30469,63013.39844,32812.39844,41888.46484,41337.63672,54577.99219,75787.52344,65326.34766,75611.46875,79202.15625,81265.0625
Q53GA4,PHLDA2,279.2174072,623.4185791,NaN,0.727378249,738.430542,1225.446899,2925.250977,3405.724854,2343.701904,1958.528931,3284.296387,2893.625977
Q53GQ0,HSD17B12,1398.891479,4727.133301,1646.46521,NaN,2305.886719,1502.817627,9633.529297,9434.667969,10783.94629,9853.213867,12801.4668,11710.00195
Q53GS7,GLE1,1537.461548,1636.638794,981.6453857,627.1305542,1748.212402,1653.348633,7124.000488,8561.402344,6250.025879,6011.35498,7304.855469,7843.249023
Q53GS9,USP39,955.1246948,1472.812378,1906.614868,1484.344727,3834.276855,2303.97168,43593.21094,51055.21094,50473.38672,46318.58594,55666.22266,52683.88672
Q53H12,AGK,1530.522461,1162.656738,1255.412354,1490.699341,2771.703125,1860.23645,3107.359619,4125.21875,3691.840576,4749.504883,3116.499512,3045.56958
Q53H96,PYCR3,NaN,NaN,Filtered,NaN,Filtered,Filtered,2097.522705,4377.866211,4121.815918,3750.378418,3649.838623,3931.768311
Q53HL2,CDCA8,NaN,Filtered,897.4987183,NaN,1455.6698,382.0960999,7115.979004,7423.790039,9537.22168,7633.445801,8761.142578,9974.390625
Q53R41,FASTKD1,NaN,Filtered,Filtered,Filtered,6850.928223,Filtered,3710.597656,4082.862549,3354.675293,2903.410645,3934.216309,4154.49707
Q53SF7,COBLL1,Filtered,Filtered,Filtered,Filtered,752.2230835,Filtered,1597.960449,2106.211426,2986.92041,2550.621826,2415.801025,2104.770508
Q567V2,MPV17L2,Filtered,Filtered,Filtered,809.7312622,Filtered,Filtered,1943.147461,3476.293945,1398.398315,4246.95459,1989.830566,1692.320801
Q56NI9,ESCO2,282.2293396,Filtered,251.1153259,Filtered,240.8487854,Filtered,3029.925049,3255.517822,3252.700195,3876.522217,3472.273682,3575.794678
Q56P03,EAPP,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,9539.320313,9585.842773,13420.88281,10644.31445,10915.44727,11447.93555
Q56VL3,OCIAD2,NaN,1578.36499,Filtered,Filtered,355.5387878,1025.566772,481.3259583,822.7891235,360.679657,NaN,1048.653076,1050.760254
Q58FF6,HSP90AB4P,397.6872253,267.7035217,Filtered,Filtered,4754.78418,NaN,12578.46484,5934.47168,6610.738281,12798.95605,13638.19141,9192.448242
Q5BJD5,TMEM41B,420.0552673,423.5663452,647.9667969,Filtered,1014.61908,1879.584106,3694.384277,6126.884766,3174.544189,5124.269043,2782.640625,5915.788574
Q5BJF2,TMEM97,1716.664185,15376.87109,4787.55127,2779.787842,7078.708984,4800.31543,17016.73242,18414.5957,24981.92578,28517.43945,23095.44531,15441.15625
Q5BJF6,ODF2,Filtered,Filtered,Filtered,331.5528259,Filtered,Filtered,2652.670898,2803.677246,3360.028076,2591.510498,4721.248047,2145.359619
Q5BJH2,TMEM128,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1196.032959,960.5709839,NaN,1162.518433,1101.743408,1006.331604
Q5BJH7,YIF1B,Filtered,155.6087036,460.7480774,NaN,674.2932129,908.265564,1500.667603,1425.105713,1206.76416,1723.977051,906.5133667,1189.407471
Q5BKT4;Q5I7T1,ALG10;ALG10B,Filtered,Filtered,Filtered,Filtered,Filtered,417.3330688,2944.255127,3709.119141,3057.376953,3517.060547,2821.163818,2902.347656
Q5BKY9,FAM133B,1517.911987,1806.978516,1698.313721,1794.902832,3577.035889,2996.842041,5341.796875,5245.545898,5274.291504,4389.113281,6279.306641,6699.432129
Q5BKZ1,ZNF326,428.6535339,Filtered,Filtered,NaN,785.0216675,Filtered,3014.077881,3801.244385,4297.215332,3415.459473,3870.462891,4468.929199
Q5D862,FLG2,4166.13916,2371.046143,3389.916504,1410.335938,8103.852539,1240.591675,10129.86133,9755.313477,7916.109375,13890.97559,3812.130371,7610.792969
Q5EB52,MEST,560.3305664,495.7996521,835.0922852,706.4727783,1615.287109,1511.687988,13619.19336,17349.58984,18418.56836,16591.73242,17343.9707,19608.61523
Q5EBL8,PDZD11,Filtered,NaN,673.52771,289.9334412,1682.114258,Filtered,5213.172363,5596.894531,6067.621582,5354.553223,6601.892578,6699.335938
Q5F1R6,DNAJC21,3912.7229,5582.930176,2713.69165,6487.708496,12962.4541,12383.85645,29905.30664,35622.83594,36650.38672,39411.26563,33387.94531,40058.85938
Q5HYI8,RABL3,NaN,391.7342224,535.9415894,976.1847534,1859.824707,449.936554,5164.694824,5579.990234,6275.635254,6374.185059,6905.605469,6872.927734
Q5HYJ3,FAM76B,598.4436035,Filtered,935.0715332,NaN,1412.390869,Filtered,7578.822754,5526.081543,7339.423828,6566.25293,7511.269531,6646.008301
Q5J8M3,EMC4,996.4406738,1161.223389,2122.424805,1195.412476,2987.79126,1809.653931,16330.37598,21224.77539,21865.21484,21097.51172,20702.80664,21863.67578
Q5JSL3,DOCK11,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,3004.728027,2446.698242,3241.039307,3026.740234,2892.190918,3044.834473
Q5JSZ5,PRRC2B,7780.936523,7524.702148,8435.189453,6786.626465,13190.4082,14812.19531,57808.91406,64359.69141,66393.82031,66540.60156,67041.67188,71529.39844
Q5JTH9,RRP12,389.0714111,282.1517029,593.3777466,895.7107544,843.8424072,1044.79126,4432.076172,5391.438477,6046.586426,4926.804688,5364.307617,6194.180664
Q5JTV8,TOR1AIP1,538.9744873,732.8172607,1362.763672,984.0334473,4672.324219,2160.682617,6171.796387,7197.222656,7601.449219,6725.015137,7049.30127,8733.521484
Q5JUR7,TEX30,NaN,Filtered,1198.727783,Filtered,1637.63501,1228.623901,7902.687012,9604.425781,10481.36523,11044.46387,9688.503906,9767.59375
Q5JVF3,PCID2,31559.86914,20038.18555,8475.856445,24485.35547,10884.60645,6652.570313,31158.1875,35860.00391,25165.04102,30079.02734,29248.06836,32063.42969
Q5JVS0,HABP4,825.8670044,1250.24231,1339.009888,1684.141724,2971.783203,3825.543213,9160.797852,10314.71582,13353.91797,13228.44141,9736.748047,9092.867188
Q5K651,SAMD9,299.5670776,Filtered,Filtered,NaN,1345.054321,1164.543091,17038.64453,21135.70508,21816.93164,20938.28711,22340.85352,22046.18945
Q5M775,SPECC1,4453.17041,4395.188965,4540.898438,4774.771484,5628.191406,5305.632813,9196.665039,9404.438477,11656.98438,10117.64941,8310.614258,11439.03223
Q5PRF9,SAMD4B,NaN,NaN,704.1959229,467.8657227,1466.632813,977.315918,5322.618652,6201.702148,6553.580566,6548.399414,7339.608398,6573.853027
Q5QJE6,DNTTIP2,Filtered,NaN,595.3205566,NaN,1303.844238,704.5407104,3301.837158,3978.303711,3543.656006,3878.772217,3747.512207,3659.53418
Q5RI15,COX20,2905.317383,3720.307129,3434.089844,4314.258789,8789.339844,5895.419922,15482.07129,12785.30664,18048.77344,16200.5498,17846.08594,17307.98633
Q5RKV6,EXOSC6,Filtered,324.2424622,448.4196167,932.1627808,770.2811279,Filtered,9173.975586,11245.91406,8463.169922,10475.91113,10763.61914,11033.3418
Q5S007,LRRK2,1644.913574,Filtered,Filtered,Filtered,1741.464233,Filtered,8031.89502,9167.947266,9844.952148,9173.863281,6426.17334,15423.41016
Q5SNT2,TMEM201,Filtered,NaN,NaN,381.8501892,Filtered,1028.810913,2941.607422,2652.953857,4378.401855,3856.989258,2719.422607,3206.782227
Q5SNV9,C1orf167,Filtered,Filtered,Filtered,736.9158325,Filtered,Filtered,12980.88867,14142.29395,16661.67188,17317.74023,14649.01465,16782.20313
Q5SSJ5,HP1BP3,NaN,582.3748169,NaN,1168.301392,1574.506348,1642.488647,4501.986328,4589.227539,5462.543457,5215.687012,4899.964355,6344.638672
Q5SVZ6,ZMYM1,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,1164.258545,362.7789612,354.2059326,Filtered,Filtered,Filtered
Q5SW79,CEP170,404.9503479,1071.605469,746.0609741,663.2611694,1557.715576,837.017395,9093.141602,10282.13477,10911.33691,10295.36035,10175.08105,11976.28809
Q5SWX8,ODR4,Filtered,Filtered,Filtered,Filtered,Filtered,369.3562622,Filtered,1752.142822,3400.493652,3196.128418,1665.723022,484.9067383
Q5SXM2,SNAPC4,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,6822.480957,6619.791504,7159.254395,7187.796387,7716.240723,7859.696777
Q5SY16,NOL9,NaN,NaN,NaN,Filtered,Filtered,NaN,3405.460693,3173.833496,3973.364502,3108.75415,4155.692383,4031.900146
Q5T0Z8,C6orf132,1571.753662,1470.916626,1198.397217,1102.001221,1692.239746,1990.493652,2017.542236,1191.648926,1757.426758,1025.309937,1428.244629,1457.091919
Q5T200,ZC3H13,1711.448486,NaN,NaN,4938.17627,5950.862305,Filtered,29659.21094,33030.88281,32981.88281,37015.77734,30516.07617,36417.05469
Q5T3I0,GPATCH4,1398.960083,1875.571899,1926.009644,2203.57251,3666.715332,2726.885742,35282.3125,40806.35156,43819.16406,40498.79297,42950.60547,45952.39844
Q5T5P2,KIAA1217,1970.502075,2029.863281,2894.642822,2282.609375,3403.989014,3370.377686,6842.608398,8234.967773,8304.064453,9161.079102,7583.646484,11099.41895
Q5T5U3,ARHGAP21,323.7090149,Filtered,691.9160156,678.1487427,995.6929321,503.1017151,3753.210205,4334.789551,4253.57373,4524.719727,4496.604492,4461.819336
Q5T5Y3,CAMSAP1,4131.04248,714.3071899,3716.49707,481.5231323,7311.424316,494.5286865,11414.55957,13097.93457,13130.05469,12940.27246,14129.35645,12983.10254
Q5T653,MRPL2,NaN,Filtered,187.9455872,200.7842255,1581.62085,892.9293213,6275.135254,6276.319336,5778.311035,5261.780762,6006.020996,6666.258301
Q5T6F2,UBAP2,14063.8291,12032.04297,16783.14258,13708.76953,26538.59375,30438.94141,95597.78906,105305.9141,119227.0234,108953.2969,110287.7578,114291.5391
Q5T749,KPRP,14253.76563,2817.805176,6079.500977,1774.254761,11466.79883,2173.526855,12855.85645,12385.27539,9597.820313,12385.14258,10702.86426,8314.96582
Q5T750,XP32,22940.07813,3046.870117,6785.734375,Filtered,9478.083008,3157.683594,37406.08984,16584.75781,18669.09961,27367.16797,10316.1377,15436.34473
Q5T7V8,GORAB,Filtered,Filtered,NaN,NaN,365.8609619,Filtered,3032.632813,3027.585938,3717.195801,2963.048096,3355.376465,3387.999512
