Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q8N3V7	SYNPO	0.00267276011895912	7828.44840494792	5246.91337076823	0.576982489266697	0.0033409501486989
Q15800	MSMO1	0.00270024388957185	1696.70868937175	264.429639180501	2.67633750427519	0.00337379059329636
P61964	WDR5	0.00270555890176973	1040.37477620443	58.3819020589193	4.13093621161518	0.00337891548942991
O14925	TIMM23	0.00273713046819168	6477.83569335938	2580.18833414714	1.32747646519995	0.00341681235047684
Q96C12	ARMC5	0.00273926723801069	11852.4926757813	4377.7109781901	1.43661237023975	0.00341794769617373
Q9Y6N5	SQOR	0.00277266575651607	2447.43282063802	589.068181355794	2.05231568983614	0.00345807171155274
P14854	COX6B1	0.00288842491624403	6880.1005859375	53.6255035400391	6.97671117332605	0.00360083410552356
Q8WUI4	HDAC7	0.003010552001098	9113.869140625	5832.23128255208	0.643768379217352	0.00375140372396328
P46459	NSF	0.00301646212791296	3427.97733561198	698.503211975098	2.29295498389352	0.00375708722103649
Q9Y6K0	CEPT1	0.00323792354312247	40212.65234375	32051.0550130208	0.327232638470949	0.00403112072757983
Q14814	MEF2D	0.00324338998332627	3513.82116699219	1169.18431599935	1.58630498151686	0.0040361220301893
P61160	ACTR2	0.00327611799179809	15831.5719401042	8326.39908854167	0.926866638370043	0.00407502840873501
Q32P28	P3H1	0.00328304143525187	1890.47975667318	70.6066284179688	4.72251545098325	0.00408181714159664
P05387	RPLP2	0.00331984123008979	60591.2513020833	35042.2936197917	0.789971123606083	0.00412572861481484
P68371	TUBB4B	0.00341296658021288	69720.669921875	33672.0595703125	1.04999161994923	0.00423956820958647
O95059	RPP14	0.00344055447804203	6997.0751953125	23.9179433186849	8.13342318981479	0.00427117937045148
Q9NWZ8	GEMIN8	0.00344148169023092	8842.39510091146	1144.19368489583	2.94884557923633	0.00427117937045148
P18124	RPL7	0.00344355061323203	101560.770833333	69012.55078125	0.557391682638443	0.00427184341106958
O15155	BET1	0.00354013909834937	2076.16973876953	447.579035441081	2.21049029504219	0.00438970943406189
Q9GZM7	TINAGL1	0.00356051997805306	1273.46226501465	145.658610026042	3.11822253422836	0.0044130165282055
P49411	TUFM	0.00365271315382631	11499.1417643229	4865.86149088542	1.24046256825539	0.00452526963229816
Q99959	PKP2	0.00372400840146008	2365.15411376953	727.245432535807	1.69943753973222	0.00461154441888231
