Protein_Group	Genes	P_value	treatment_estimate	control_estimate	log2FC	p.adj
Q8IXQ6	PARP9	2.53517182843887e-07	4919.73819986979	289.175211588542	4.08358535909408	8.39229294931487e-07
Q9UMS4	PRPF19	2.5324241336197e-07	90619.4296875	2843.96171061198	4.99333927026747	8.39229294931487e-07
Q15365	PCBP1	2.58723623481823e-07	31719.0013020833	6521.70255533854	2.28180560120386	8.55447230134672e-07
Q8IWX8	CHERP	2.59625078420557e-07	29988.0826822917	1635.47744750977	4.19572365934132	8.57409511652232e-07
Q6ICC9	RTL6	2.60581669075494e-07	2695.07604980469	254.538101196289	3.39871566282867	8.5954901268504e-07
Q10471	GALNT2	2.6315236557981e-07	34958.50390625	6534.86938476563	2.41919238665348	8.65976578929304e-07
Q8TF42	UBASH3B	2.62898468276836e-07	32025.16796875	2175.86877441406	3.87887979038137	8.65976578929304e-07
Q96Q45	TMEM237	2.64927752987498e-07	12744.0222981771	410.320149739583	4.95341513775958	8.70789686324904e-07
Q9BX40	LSM14B	2.67977348998284e-07	6152.84969075521	81.8456370035807	6.21468521773141	8.79382000308296e-07
Q9BY77	POLDIP3	2.68173605697465e-07	42375.3359375	2970.87784830729	3.83377808170406	8.79382000308296e-07
Q2KHR3	QSER1	2.69151367426495e-07	9616.69319661458	3020.49007161458	1.67028069160198	8.81549890488663e-07
P38646	HSPA9	2.69520292600949e-07	43753.9466145833	10365.1225585938	2.07753679828111	8.8172091022449e-07
Q15046	KARS1	2.70166680783337e-07	102971.782552083	1336.02285766602	6.2670811084799	8.8279816819344e-07
P12081	HARS1	2.70883990511721e-07	27207.5989583333	821.147623697917	5.0484683701704	8.83069121293479e-07
Q5F1R6	DNAJC21	2.70845856401292e-07	35839.4332682292	7340.56062825521	2.28738914323088	8.83069121293479e-07
O76021	RSL1D1	2.73703408575095e-07	4931.38224283854	1016.63787841797	2.27676780721263	8.91161753195799e-07
O95347	SMC2	2.74006631011352e-07	50814.51171875	1846.25120035807	4.78178859268122	8.91161753195799e-07
Q9H944	MED20	2.78048218375639e-07	6945.32194010417	374.398473103841	4.20954688247292	9.03251155143265e-07
O75396	SEC22B	2.79301861832417e-07	35701.8548177083	7008.1650390625	2.34868452876544	9.06266181050639e-07
O00203	AP3B1	2.79952710902907e-07	3824.78727213542	521.08932240804	2.87301095130922	9.07320543834333e-07
O75122	CLASP2	2.86534832336396e-07	16753.9326171875	938.621368408203	4.15627644323906	9.27573224679684e-07
O75427	LRCH4	2.89107339453226e-07	8054.55078125	493.848876953125	4.02474421954528	9.34813975653637e-07
P98175	RBM10	2.90206619414307e-07	45561.1334635417	1607.27020263672	4.82422192201981	9.36193775723557e-07
Q9BZE1	MRPL37	2.90033823051885e-07	5095.65584309896	747.728337605794	2.76675357910083	9.36193775723557e-07
P33897	ABCD1	2.91424212456297e-07	4496.98372395833	279.557791352272	4.00258777896781	9.39033573470289e-07
Q9HC36	MRM3	2.92317762708974e-07	48626.1158854167	1221.88917541504	5.31336578747451	9.40823874429809e-07
P08237	PFKM	2.92843956733397e-07	5165.55948893229	373.700942993164	3.7851131043091	9.41429071069027e-07
P26599	PTBP1	2.94596762244473e-07	173543.888020833	10376.6076660156	4.06375475144702	9.45971610252149e-07
Q13435	SF3B2	3.00058079846461e-07	152356.571614583	7747.39038085938	4.29741127717757	9.62398265313993e-07
Q9NXE8	CWC25	3.00785481881842e-07	27192.408203125	2283.16975911458	3.57346214374682	9.63621152542057e-07
Q07955	SRSF1	3.01846182014897e-07	1011997.82291667	57625.298828125	4.13433501364381	9.65907782447672e-07
Q6DKI1	RPL7L1	3.0336109787572e-07	5712.75325520833	598.180867513021	3.25312275564958	9.69640983336402e-07
P51114	FXR1	3.04545053564597e-07	149911.104166667	14941.2592773438	3.32663704411249	9.72308978353026e-07
P05787	KRT8	3.07689198140343e-07	2942822.33333333	1262808	1.22056399740705	9.80099230689605e-07
P09234	SNRPC	3.07389422666212e-07	43408.5735677083	2160.12283325195	4.32812703641892	9.80099230689605e-07
Q29RF7	PDS5A	3.08121878396548e-07	90658.7890625	2192.00166829427	5.36946807651283	9.80355782235416e-07
Q9Y399	MRPS2	3.12274368872859e-07	40658.5618489583	2464.77815755208	4.04344427238092	9.92433610664428e-07
Q5K651	SAMD9	3.17111724647421e-07	20886.1018880208	468.194081624349	5.47621463209729	1.00665797197083e-06
Q9UHI6	DDX20	3.17975104086286e-07	28420.0061848958	1615.4877726237	4.13597236870875	1.00824907719387e-06
O43684	BUB3	3.18563836129875e-07	128246.526041667	8071.27766927083	3.98980013527373	1.00896668917585e-06
Q6KB66	KRT80	3.2339343342825e-07	25012.1966145833	8717.20068359375	1.52052944459551	1.02309922575483e-06
P48426	PIP4K2A	3.25176591326533e-07	5623.89306640625	264.80419921875	4.40313336119727	1.02757279256875e-06
Q13310	PABPC4	3.26294844252601e-07	349042.427083333	22380.3408203125	3.96303403778886	1.02993746757284e-06
P09038	FGF2	3.2674314776509e-07	38528.416015625	2162.26517740885	4.15464044526254	1.03018451118687e-06
O75533	SF3B1	3.2997613417939e-07	103524.001302083	7136.04007975261	3.85849560053903	1.03593788734861e-06
Q07065	CKAP4	3.30056359941888e-07	182262.635416667	10464.5422363281	4.12229986636452	1.03593788734861e-06
Q9UN86	G3BP2	3.29453574096082e-07	420659.119791667	15417.5310872396	4.76991438955448	1.03593788734861e-06
Q9UQB8	BAIAP2	3.2924169268644e-07	29195.5426432292	1664.01066080729	4.1321448062513	1.03593788734861e-06
Q9NYY8	FASTKD2	3.34339221404687e-07	56183.314453125	2114.794921875	4.73087003375774	1.04819864007956e-06
O75934	BCAS2	3.35319063160116e-07	9547.60302734375	581.707611083984	4.03429452312462	1.04890817060423e-06
P22087	FBL	3.35000592926332e-07	48246.6888020833	3055.56958007813	3.98044461853631	1.04890817060423e-06
O60231	DHX16	3.40619607181627e-07	50013.5240885417	1972.62535603841	4.66339820390819	1.06349777420483e-06
Q05048	CSTF1	3.40747131677698e-07	6160.83821614583	393.169158935547	3.96623984611787	1.06349777420483e-06
O00567	NOP56	3.44379134723032e-07	5145.65747070313	387.337656656901	3.72797190923459	1.07242898329857e-06
Q9Y2P8	RCL1	3.44201450495137e-07	6674.36442057292	231.371220906576	4.84412715223078	1.07242898329857e-06
Q8IYB8	SUPV3L1	3.46059474393911e-07	14018.6323242188	722.508633931478	4.27619156166319	1.0764576276119e-06
O60506	SYNCRIP	3.46478339719785e-07	334299.140625	7412.53531901042	5.49483414628246	1.07655769841505e-06
Q99661	KIF2C	3.46967420130444e-07	70708.6393229167	2110.74446614583	5.06537932162478	1.07687547117409e-06
Q9BV81	EMC6	3.47737500366923e-07	39205.0934244792	2001.9126180013	4.29086971122053	1.07806369824222e-06
Q92945	KHSRP	3.48459807089605e-07	732033.4375	3740.4384358724	7.61217270233266	1.07910133808394e-06
O60583	CCNT2	3.519919142595e-07	5415.51733398438	365.420633951823	3.88552651014113	1.08882832144272e-06
Q9H0G5	NSRP1	3.5289888688276e-07	13255.0948893229	1918.90731811523	2.78743842520124	1.09042230974651e-06
Q53EZ4	CEP55	3.54296921572664e-07	5757.02091471354	80.2369079589844	6.14704331442558	1.09231741933366e-06
Q9BRJ7	NUDT16L1	3.54195529334058e-07	21486.69140625	712.858133951823	4.91166214466779	1.09231741933366e-06
P24539	ATP5PB	3.5595187552338e-07	38758.4029947917	5252.14798990885	2.88325499372874	1.09620577594811e-06
Q9Y606	PUS1	3.56786957340242e-07	10156.4549153646	1301.92759195964	2.96256810509503	1.0975634135196e-06
Q9BUN8	DERL1	3.57296771548484e-07	7424.96435546875	925.290974934896	3.00284673781584	1.09791855628144e-06
Q9P2E9	RRBP1	3.59854219097281e-07	243632.375	16515.5232747396	3.88272392121689	1.10455804406486e-06
Q8N983	MRPL43	3.6163721542772e-07	10829.3894856771	678.037679036458	3.99531647186765	1.10880837858015e-06
P49759	CLK1	3.63305954360951e-07	3342.45060221354	326.506917317708	3.35130895557099	1.11269942457743e-06
P53350	PLK1	3.64150615147291e-07	96727.4518229167	5080.64986165365	4.2505565145572	1.11406078304402e-06
Q9BPX6	MICU1	3.65591341265419e-07	15096.6429036458	564.072738647461	4.73964736802437	1.11724071798345e-06
Q6ZXV5	TMTC3	3.6633132335463e-07	20181.7112630208	1631.08068847656	3.6282642201066	1.11827456602992e-06
Q9H6T0	ESRP2	3.68010097478574e-07	7916.15901692708	209.515279134115	5.23280374044439	1.12216879669261e-06
O95248	SBF1	3.68808221723143e-07	4989.62980143229	391.289861043294	3.66894082707521	1.12337208892476e-06
